t,power,slowness,back_azi
2020-01-01T01:30:46.005000Z,2356802.242867136,0.32,81.0
2020-01-01T01:30:46.015000Z,2511909.603390583,0.2,117.0
2020-01-01T01:30:46.025000Z,2837836.1087725256,0.32,81.0
2020-01-01T01:30:46.035000Z,2933956.079259849,0.36,81.0
2020-01-01T01:30:46.045000Z,3130621.709556023,0.36,81.0
2020-01-01T01:30:46.055000Z,2966969.68820161,0.36,81.0
2020-01-01T01:30:46.065000Z,2764997.989890052,0.36,81.0
2020-01-01T01:30:46.075000Z,2506013.1471163486,0.36,81.0
2020-01-01T01:30:46.085000Z,2220611.746404965,0.4,93.0
2020-01-01T01:30:46.095000Z,2145781.7089591753,0.12,153.0
2020-01-01T01:30:46.105000Z,2419185.160816621,0.28,249.0
2020-01-01T01:30:46.115000Z,2065402.3517914945,0.32,249.0
2020-01-01T01:30:46.125000Z,2227401.394415233,0.32,252.0
2020-01-01T01:30:46.135000Z,2188723.678870915,0.32,252.0
2020-01-01T01:30:46.145000Z,2288296.866601987,0.32,252.0
2020-01-01T01:30:46.155000Z,2234369.7157949377,0.32,252.0
2020-01-01T01:30:46.165000Z,2433109.716895516,0.32,252.0
2020-01-01T01:30:46.175000Z,2460918.603059618,0.4,255.0
2020-01-01T01:30:46.185000Z,2065340.4258455765,0.28,249.0
2020-01-01T01:30:46.195000Z,1968874.0712848676,0.12,141.0
2020-01-01T01:30:46.205000Z,2291817.997822422,0.12,144.0
2020-01-01T01:30:46.215000Z,1985024.7701665235,0.12,150.0
2020-01-01T01:30:46.225000Z,1998641.2298517616,0.16,171.0
2020-01-01T01:30:46.235000Z,2352612.500000856,0.16,174.0
2020-01-01T01:30:46.245000Z,2480467.1765815946,0.16,174.0
2020-01-01T01:30:46.255000Z,2250841.266484822,0.16,177.0
2020-01-01T01:30:46.265000Z,2038714.6162339416,0.16,150.0
2020-01-01T01:30:46.275000Z,1969602.2771874487,0.16,150.0
2020-01-01T01:30:46.285000Z,1899430.0379655329,0.16,147.0
2020-01-01T01:30:46.295000Z,1842562.8047811098,0.16,147.0
2020-01-01T01:30:46.305000Z,2663464.423182157,0.12,225.0
2020-01-01T01:30:46.315000Z,4293275.453031895,0.12,225.0
2020-01-01T01:30:46.325000Z,4757706.004110873,0.12,228.0
2020-01-01T01:30:46.335000Z,5054424.938449955,0.12,228.0
2020-01-01T01:30:46.345000Z,5507399.747510877,0.12,228.0
2020-01-01T01:30:46.355000Z,5556916.77045943,0.12,228.0
2020-01-01T01:30:46.365000Z,5853752.656457192,0.12,228.0
2020-01-01T01:30:46.375000Z,6349006.6247577835,0.12,228.0
2020-01-01T01:30:46.385000Z,5685431.194041261,0.16,228.0
2020-01-01T01:30:46.395000Z,5237023.626571216,0.16,228.0
2020-01-01T01:30:46.405000Z,4937799.654861861,0.16,231.0
2020-01-01T01:30:46.415000Z,4909477.810342491,0.16,231.0
2020-01-01T01:30:46.425000Z,5296987.522888321,0.16,231.0
2020-01-01T01:30:46.435000Z,5528578.7254852215,0.16,234.0
2020-01-01T01:30:46.445000Z,5512324.734220648,0.16,234.0
2020-01-01T01:30:46.455000Z,5269837.9374812255,0.16,234.0
2020-01-01T01:30:46.465000Z,5098233.950562442,0.16,237.0
2020-01-01T01:30:46.475000Z,4992646.160842598,0.16,237.0
